Пользователь	Югин Дмитрий
Компьютер	Progr10
Дата и время	25.09.2017 11:11:59
	
Параметры:	Период запроса: 01.01.2017 - 31.12.2017
	
День	ID Интернет заказа	Код товара	Количество отгрузок	Сумма отгрузок	Количество возвратов	Сумма возвратов
27.06.2017	4 243 073	131 467	1	2 120		
19.05.2017	5 010 347	131 474	1	3 045		
22.05.2017	5 010 347	131 474			1	3 045
06.03.2017	785 295	131 474	1	2 540		
16.01.2017	4 296 585	131 474	1	2 540		
24.03.2017	3 953 939	131 474	1	2 540		
12.01.2017	3 774 284	131 474	1	2 540		
06.06.2017	341 498	131 474	1	3 045		
18.01.2017	2 761 748	131 477	1	2 275		
17.03.2017	5 790 803	131 492	1	2 540		
28.07.2017	3 178 576	138 480	1	1 415		
07.09.2017	3 243 341	138 480	1	1 365		
19.07.2017	1 577 593	138 659	1	1 205		
13.04.2017	4 242 363	138 666	1	3 230		
24.05.2017	2 111 398	138 689	1	1 465		
05.04.2017	1 036 363	138 692	1	1 380		
06.04.2017	1 036 363	138 692			1	1 380
10.03.2017	2 900 011	97 226	1	8 075		
05.04.2017	5 297 948	118 598	1	9 045		
22.05.2017	525 059	118 598	1	9 150		
05.01.2017	4 855 065	118 598	1	10 705		
09.03.2017	1 214 324	118 598	1	9 405		
27.04.2017	5 974 505	118 598	1	11 505		
09.03.2017	4 143 644	118 598	1	10 490		
17.05.2017	2 943 265	118 598	1	9 405		
27.04.2017	5 974 505	118 598			1	11 505
01.09.2017	386 220	118 794	1	36 465		
04.09.2017	2 381 505	132 759	1	1 490		
07.07.2017	280 424	132 957	1	1 350		
10.07.2017	280 424	132 957			1	1 350
06.09.2017	2 439 518	132 985	1	2 715		
07.09.2017	2 439 518	132 985			1	2 715
22.08.2017	3 363 062	103 524	1	13 095		
27.03.2017	4 610 236	117 573	1	7 395		
27.03.2017	4 610 236	117 575	1	14 885		
29.05.2017	1 750 315	117 815			1	6 590
31.01.2017	5 370 384	117 815	1	6 195		
26.05.2017	1 750 315	117 815	1	6 590		
20.06.2017	3 038 462	117 815	1	6 395		
20.09.2017	5 834 298	124 694	1	2 890		
15.08.2017	5 771 870	124 695	1	3 275		
