
Параметры:	Период: 01.04.2016 - 27.08.2017
Отбор:	Направление В списке "Автосервис; АТП; Дуговая сварка.; ЗЧ и РМ; Компрессорное; Металлообработка; Насосное; Подготовка поверхности; Сварочное; Строительное;..."
	
Направление	Документ оплаты.Дата.Конец дня	Канал сбыта	Сумма Руб.	Сумма оплаты Руб.	Количество заказов
Сварочное	05.05.2016 23:59:59	Розница	856 015,91	857 058,95	4
Строительное	05.05.2016 23:59:59	Розница	177 341,87	177 341,87	3
Химическое	05.05.2016 23:59:59	Розница	107 325,38	117 106,29	1
Дуговая сварка.	06.05.2016 23:59:59	Розница	32 400,00	32 400,00	1
ЗЧ и РМ	06.05.2016 23:59:59	Дилер	31 007,92	31 007,88	4
ЗЧ и РМ	06.05.2016 23:59:59	КПК		49 095,08	5
ЗЧ и РМ	06.05.2016 23:59:59	Розница	71 459,54	71 459,54	9
Компрессорное	06.05.2016 23:59:59	Дилер	106 449,64	106 886,47	3
Компрессорное	06.05.2016 23:59:59	Розница	178 962,89	172 995,83	2
Насосное	06.05.2016 23:59:59	Дилер	1 154 335,34	1 250 764,42	9
Насосное	06.05.2016 23:59:59	КПК	20 546,16	20 546,16	1
Насосное	06.05.2016 23:59:59	Розница	391 463,86	391 463,86	4
Подготовка поверхности	06.05.2016 23:59:59	Розница	336 177,42	363 251,71	2
Сварочное	06.05.2016 23:59:59	Розница	423 174,15	455 598,27	2
Химическое	06.05.2016 23:59:59	Дилер	416 803,01	356 243,11	1
АТП	10.05.2016 23:59:59	Розница		246 122,25	1
Дуговая сварка.	10.05.2016 23:59:59	Дилер	1 208 959,20	1 352 960,97	1
ЗЧ и РМ	10.05.2016 23:59:59	Дилер	64 489,88	64 600,42	4
ЗЧ и РМ	10.05.2016 23:59:59	Розница	415 599,40	506 766,20	11
Компрессорное	10.05.2016 23:59:59	Дилер	74 200,00	74 200,00	2
Насосное	10.05.2016 23:59:59	Дилер	424 414,42	461 885,42	8
Подготовка поверхности	10.05.2016 23:59:59	Дилер		8 501,77	1
Подготовка поверхности	10.05.2016 23:59:59	Розница	160 677,00	160 677,00	3
Сварочное	10.05.2016 23:59:59	Дилер	9 869,45	10 701,97	1
Сварочное	10.05.2016 23:59:59	Розница	124 309,69	600 729,60	2
Химическое	10.05.2016 23:59:59	Розница	169 447,06	169 447,06	1
Дуговая сварка.	11.05.2016 23:59:59	Дилер	12 000,00	12 000,00	1
Дуговая сварка.	11.05.2016 23:59:59	Розница	8 358,03	8 358,03	1
ЗЧ и РМ	11.05.2016 23:59:59	Дилер	3 580,00	3 580,00	1
ЗЧ и РМ	11.05.2016 23:59:59	КПК	106 142,65	106 141,02	1
ЗЧ и РМ	11.05.2016 23:59:59	Розница	382 224,35	390 477,59	14
Компрессорное	11.05.2016 23:59:59	Дилер	202 411,98	204 472,72	2
Компрессорное	11.05.2016 23:59:59	Розница	91 531,25	92 177,86	4
Насосное	11.05.2016 23:59:59	Дилер	297 040,67	308 804,55	11
Насосное	11.05.2016 23:59:59	КПК	2 263 923,10	2 263 922,36	1
Насосное	11.05.2016 23:59:59	Розница	730 792,35	730 792,35	11
Подготовка поверхности	11.05.2016 23:59:59	Розница	197 830,10	197 830,10	1
Сварочное	11.05.2016 23:59:59	Дилер	98 276,30	106 512,25	1
Сварочное	11.05.2016 23:59:59	Розница	226 538,13	244 666,44	2
Химическое	11.05.2016 23:59:59	Дилер	43 200,00	43 200,00	1
Химическое	11.05.2016 23:59:59	Розница	537 169,33	362 793,86	5
ЗЧ и РМ	12.05.2016 23:59:59	Дилер	48 374,17	50 535,40	4
ЗЧ и РМ	12.05.2016 23:59:59	Розница	105 156,07	105 156,02	10
Компрессорное	12.05.2016 23:59:59	Дилер	113 763,34	113 820,00	4
Компрессорное	12.05.2016 23:59:59	Розница	10 000,00	10 000,00	1
Насосное	12.05.2016 23:59:59	Дилер	84 600,00	84 600,00	3
Насосное	12.05.2016 23:59:59	Розница	234 348,98	238 371,59	4
Подготовка поверхности	12.05.2016 23:59:59	Дилер	676,00	676,00	1
Подготовка поверхности	12.05.2016 23:59:59	Розница	44 006,49	44 006,45	1
Сварочное	12.05.2016 23:59:59	Дилер	19 167,36	20 748,89	2
Сварочное	12.05.2016 23:59:59	Розница	154 379,60	154 379,60	2
Химическое	12.05.2016 23:59:59	Розница	597 041,35	512 865,03	4
АТП	13.05.2016 23:59:59	Розница	43 082,36	43 082,36	1
ЗЧ и РМ	13.05.2016 23:59:59	Дилер	79 880,67	81 555,74	5
ЗЧ и РМ	13.05.2016 23:59:59	Розница	195 958,67	195 958,67	14
Компрессорное	13.05.2016 23:59:59	Дилер	453 110,00	453 110,00	5
Компрессорное	13.05.2016 23:59:59	Розница	1 415 869,34	1 415 869,23	4
Насосное	13.05.2016 23:59:59	Дилер	272 758,74	288 564,85	7
Насосное	13.05.2016 23:59:59	Розница	135 467,63	135 467,63	5
Подготовка поверхности	13.05.2016 23:59:59	Дилер	49 375,00	49 375,00	2
Подготовка поверхности	13.05.2016 23:59:59	Розница	257 085,28	257 084,85	4
Сварочное	13.05.2016 23:59:59	Дилер	31 508,63	33 499,39	2
Сварочное	13.05.2016 23:59:59	Розница	89 190,23	91 741,60	5
Строительное	13.05.2016 23:59:59	Розница	11 154,00	11 154,00	1
Химическое	13.05.2016 23:59:59	Дилер	132 477,14	140 867,17	2
Химическое	13.05.2016 23:59:59	Розница	736,03	782,64	1
ЗЧ и РМ	16.05.2016 23:59:59	Дилер	350 613,28	370 618,30	5
ЗЧ и РМ	16.05.2016 23:59:59	Розница	114 257,31	114 257,26	11
Компрессорное	16.05.2016 23:59:59	Дилер	236 472,01	237 602,49	5
Компрессорное	16.05.2016 23:59:59	Розница	278 651,20	230 708,15	8
Насосное	16.05.2016 23:59:59	Дилер	331 718,82	345 013,82	9
Насосное	16.05.2016 23:59:59	Розница	1 220 040,80	1 221 890,65	10
Подготовка поверхности	16.05.2016 23:59:59	Розница	351 013,71	351 013,71	6
Сварочное	16.05.2016 23:59:59	Дилер	5 223,00	5 521,86	2
Сварочное	16.05.2016 23:59:59	Розница	615 928,40	615 928,40	2
Химическое	16.05.2016 23:59:59	Дилер	175 612,24	194 661,72	3
Дуговая сварка.	17.05.2016 23:59:59	Дилер	701,15	716,44	1
Дуговая сварка.	17.05.2016 23:59:59	Розница	52 428,32	52 428,32	1
ЗЧ и РМ	17.05.2016 23:59:59	Дилер	253 704,06	263 997,79	7
ЗЧ и РМ	17.05.2016 23:59:59	Розница	354 205,78	354 205,74	14
Компрессорное	17.05.2016 23:59:59	Дилер	136 430,00	136 430,00	2
Компрессорное	17.05.2016 23:59:59	Розница	473 032,67	481 591,78	2
Металлообработка	17.05.2016 23:59:59	Розница	340 000,00	340 000,00	1
Насосное	17.05.2016 23:59:59	Дилер	534 578,14	560 005,55	9
Насосное	17.05.2016 23:59:59	Розница	333 434,05	333 434,03	5
Подготовка поверхности	17.05.2016 23:59:59	Дилер	145 907,01	92 722,27	2
Подготовка поверхности	17.05.2016 23:59:59	Розница	4 400,00	4 400,00	1
Сварочное	17.05.2016 23:59:59	Дилер	970,24	991,39	1
Сварочное	17.05.2016 23:59:59	Розница	45 930,81	45 930,81	2
Строительное	17.05.2016 23:59:59	Розница	603 613,47	607 631,31	4
Химическое	17.05.2016 23:59:59	Розница	158 749,67	167 303,09	3
Автосервис	18.05.2016 23:59:59	Дилер	97 593,54	106 447,77	1
Дуговая сварка.	18.05.2016 23:59:59	Дилер	26 200,00	1 367 240,62	2
Дуговая сварка.	18.05.2016 23:59:59	КПК		309 211,92	1
Дуговая сварка.	18.05.2016 23:59:59	Розница	139 418,07	147 816,72	1
ЗЧ и РМ	18.05.2016 23:59:59	Дилер	248 916,63	254 600,82	11
ЗЧ и РМ	18.05.2016 23:59:59	КПК		432 854,12	4
ЗЧ и РМ	18.05.2016 23:59:59	Розница	235 341,36	239 137,20	13
Компрессорное	18.05.2016 23:59:59	Дилер	250 504,15	251 180,79	5
Компрессорное	18.05.2016 23:59:59	Розница	501 417,47	512 389,79	4
Насосное	18.05.2016 23:59:59	Дилер	1 077 352,76	1 006 953,75	22
Насосное	18.05.2016 23:59:59	КПК		10 679,00	1
Насосное	18.05.2016 23:59:59	Розница	297 125,06	306 708,63	6
Подготовка поверхности	18.05.2016 23:59:59	Дилер	644 637,09	667 129,08	7
Подготовка поверхности	18.05.2016 23:59:59	Розница	263 295,54	263 295,53	2
Сварочное	18.05.2016 23:59:59	Дилер	157 619,15	121 735,55	5
Сварочное	18.05.2016 23:59:59	Розница	241 689,97	241 689,97	1
Строительное	18.05.2016 23:59:59	Дилер	28 324,08	61 417,14	1
Строительное	18.05.2016 23:59:59	Розница	8 690,00	8 690,00	1
Химическое	18.05.2016 23:59:59	Дилер	332 129,18	349 175,98	4
Химическое	18.05.2016 23:59:59	Розница	150 138,30	157 938,62	3
Дуговая сварка.	19.05.2016 23:59:59	Дилер	17 424,88	-9 766,73	2
Дуговая сварка.	19.05.2016 23:59:59	КПК	1 920 000,00	1 920 000,00	1
Дуговая сварка.	19.05.2016 23:59:59	Розница	126 434,70	126 434,70	4
ЗЧ и РМ	19.05.2016 23:59:59	Дилер	147 062,02	154 934,43	10
ЗЧ и РМ	19.05.2016 23:59:59	Розница	321 244,36	312 891,87	16
Компрессорное	19.05.2016 23:59:59	Дилер	267 749,14	269 700,94	2
Компрессорное	19.05.2016 23:59:59	Розница	1 542 522,34	37 921,69	5
Насосное	19.05.2016 23:59:59	Дилер	1 613 270,32	1 655 287,66	14
Насосное	19.05.2016 23:59:59	Розница	207 584,36	218 323,79	5
НГО	19.05.2016 23:59:59	КПК	3 021 346,35	3 288 710,85	2
Подготовка поверхности	19.05.2016 23:59:59	Дилер	36 001,50	36 415,72	2
Подготовка поверхности	19.05.2016 23:59:59	Розница	219 594,55	219 594,55	2
Сварочное	19.05.2016 23:59:59	Дилер	235 258,34	246 882,69	4
Сварочное	19.05.2016 23:59:59	КПК	2 810 255,67	3 059 637,86	3
Сварочное	19.05.2016 23:59:59	Розница	167 003,80	167 003,80	3
Строительное	19.05.2016 23:59:59	Дилер	37 230,00	37 230,00	1
Строительное	19.05.2016 23:59:59	Розница	26 234,00	26 234,00	2
Химическое	19.05.2016 23:59:59	Дилер	24 806,05	26 090,21	1
Химическое	19.05.2016 23:59:59	Розница	420 903,43	331 738,60	3
ЗЧ и РМ	20.05.2016 23:59:59	Дилер	83 556,95	83 940,14	6
ЗЧ и РМ	20.05.2016 23:59:59	Розница	396 093,78	396 092,96	13
Компрессорное	20.05.2016 23:59:59	Дилер	273 600,00	273 600,00	2
Компрессорное	20.05.2016 23:59:59	Розница	577 701,00	577 701,00	4
Металлообработка	20.05.2016 23:59:59	Розница	20 000,00	20 000,00	1
Насосное	20.05.2016 23:59:59	Дилер	1 160 861,72	841 636,42	12
Насосное	20.05.2016 23:59:59	Розница	1 314 071,45	1 314 071,21	7
Подготовка поверхности	20.05.2016 23:59:59	Дилер	32 320,00	32 320,00	1
Подготовка поверхности	20.05.2016 23:59:59	Розница	85 168,37	85 168,37	3
Сварочное	20.05.2016 23:59:59	Дилер	520 543,01	531 461,34	2
Сварочное	20.05.2016 23:59:59	Розница	43 210,00	43 210,00	1
Строительное	20.05.2016 23:59:59	Дилер	11 910,00	11 910,00	2
Строительное	20.05.2016 23:59:59	Розница	36 472,00	36 472,00	1
Химическое	20.05.2016 23:59:59	Дилер	40 425,71	43 079,79	1
Химическое	20.05.2016 23:59:59	Розница	206 543,33	219 341,49	2
Насосное	21.05.2016 23:59:59	Розница	110 121,41	110 121,41	1
Дуговая сварка.	23.05.2016 23:59:59	Дилер	1 742,49	1 861,56	1
Дуговая сварка.	23.05.2016 23:59:59	КПК	37 172,36	456 853,52	2
ЗЧ и РМ	23.05.2016 23:59:59	Дилер	167 298,50	172 967,46	10
ЗЧ и РМ	23.05.2016 23:59:59	КПК	19 070,48	19 070,40	1
ЗЧ и РМ	23.05.2016 23:59:59	Розница	91 718,32	93 837,70	13
Компрессорное	23.05.2016 23:59:59	Дилер	170 676,88	172 786,80	6
Компрессорное	23.05.2016 23:59:59	Розница	864 983,44	878 647,16	7
Насосное	23.05.2016 23:59:59	Дилер	567 068,42	602 514,15	13
Насосное	23.05.2016 23:59:59	Розница	804 919,57	806 223,07	7
Подготовка поверхности	23.05.2016 23:59:59	Дилер	71 720,00	71 720,00	2
Подготовка поверхности	23.05.2016 23:59:59	Розница	576 918,10	577 632,52	7
Сварочное	23.05.2016 23:59:59	Дилер	722 906,39	724 088,62	3
Сварочное	23.05.2016 23:59:59	Розница	364 799,91	364 799,91	4
Строительное	23.05.2016 23:59:59	Розница	18 180,00	18 180,00	3
Химическое	23.05.2016 23:59:59	Дилер	2 300,00	2 300,00	1
Химическое	23.05.2016 23:59:59	Розница	137 671,15	147 078,68	1
Дуговая сварка.	24.05.2016 23:59:59	Розница	189 198,00	189 198,00	1
ЗЧ и РМ	24.05.2016 23:59:59	Дилер	118 992,06	119 985,90	10
ЗЧ и РМ	24.05.2016 23:59:59	Розница	547 940,41	511 389,30	19
Компрессорное	24.05.2016 23:59:59	Дилер	90 235,00	174 634,50	4
Компрессорное	24.05.2016 23:59:59	Розница	330 955,59	331 929,93	5
Насосное	24.05.2016 23:59:59	Дилер	925 491,19	995 368,95	13
Насосное	24.05.2016 23:59:59	Розница	287 700,00	297 076,51	6
Подготовка поверхности	24.05.2016 23:59:59	Дилер	69 943,45	72 225,93	1
Подготовка поверхности	24.05.2016 23:59:59	Розница	218 246,63	222 366,85	3
Сварочное	24.05.2016 23:59:59	Розница	298 914,44	303 932,92	3
Строительное	24.05.2016 23:59:59	Розница	34 053,78	34 053,78	1
Химическое	24.05.2016 23:59:59	Розница	206 646,02	222 934,57	2
Дуговая сварка.	25.05.2016 23:59:59	Дилер	57 866,38	63 758,22	2
ЗЧ и РМ	25.05.2016 23:59:59	Дилер	9 214,55	9 550,95	2
ЗЧ и РМ	25.05.2016 23:59:59	Розница	180 757,45	180 757,42	18
Компрессорное	25.05.2016 23:59:59	Дилер	122 560,00	122 560,00	3
Компрессорное	25.05.2016 23:59:59	КПК	1 100 000,00	1 100 000,00	1
Компрессорное	25.05.2016 23:59:59	Розница	208 083,42	211 266,57	4
Насосное	25.05.2016 23:59:59	Дилер	368 062,63	399 158,38	12
Насосное	25.05.2016 23:59:59	Розница	774 413,25	780 718,37	6
Подготовка поверхности	25.05.2016 23:59:59	Розница	3 613,32	3 613,32	1
Сварочное	25.05.2016 23:59:59	Дилер	83,13	84,94	1
Сварочное	25.05.2016 23:59:59	Розница	275 648,30	293 788,66	4
Строительное	25.05.2016 23:59:59	Дилер	70 600,00	70 600,00	1
Строительное	25.05.2016 23:59:59	Розница	145 008,00	145 008,00	4
Химическое	25.05.2016 23:59:59	Дилер	153 548,31	162 450,56	2
АТП	26.05.2016 23:59:59	Розница		387 829,00	1
Дуговая сварка.	26.05.2016 23:59:59	Дилер	68 736,58	75 740,92	1
ЗЧ и РМ	26.05.2016 23:59:59	Дилер	87 916,92	91 459,82	7
ЗЧ и РМ	26.05.2016 23:59:59	Розница	330 704,62	332 180,24	15
Компрессорное	26.05.2016 23:59:59	Дилер	276 059,93	276 059,93	2
Компрессорное	26.05.2016 23:59:59	Розница	878 787,86	881 243,32	4
Насосное	26.05.2016 23:59:59	Дилер	345 643,99	364 046,71	11
Насосное	26.05.2016 23:59:59	Розница	225 627,19	231 422,11	5
Подготовка поверхности	26.05.2016 23:59:59	Розница	337 871,16	337 871,16	3
Сварочное	26.05.2016 23:59:59	Дилер	180 331,85	189 740,27	3
Сварочное	26.05.2016 23:59:59	КПК	77 898,50	77 898,50	1
Сварочное	26.05.2016 23:59:59	Розница	1 169 450,86	1 198 704,35	4
Строительное	26.05.2016 23:59:59	Розница	8 255,50	8 255,50	1
Химическое	26.05.2016 23:59:59	Розница	117 745,02	122 415,29	2
Дуговая сварка.	27.05.2016 23:59:59	Дилер	33 045,77	30 966,97	2
Дуговая сварка.	27.05.2016 23:59:59	Розница	9 691,72	10 128,65	1
ЗЧ и РМ	27.05.2016 23:59:59	Дилер	103 309,05	106 751,35	11
ЗЧ и РМ	27.05.2016 23:59:59	Розница	84 972,45	84 972,45	7
Компрессорное	27.05.2016 23:59:59	Дилер	208 565,00	208 565,00	7
Насосное	27.05.2016 23:59:59	Дилер	456 956,89	477 558,13	10
Насосное	27.05.2016 23:59:59	Розница	1 219 761,55	1 219 761,55	6
Подготовка поверхности	27.05.2016 23:59:59	КПК	212 650,00	212 650,00	1
Подготовка поверхности	27.05.2016 23:59:59	Розница	232 156,00	232 156,00	2
Сварочное	27.05.2016 23:59:59	Дилер	349 645,18	366 345,38	9
Сварочное	27.05.2016 23:59:59	Розница	235 000,00	235 000,00	1
Строительное	27.05.2016 23:59:59	Розница	118 405,00	118 405,00	2
Химическое	27.05.2016 23:59:59	Дилер	417 088,23	436 313,41	5
Химическое	27.05.2016 23:59:59	Розница	594 991,73	563 419,23	4
ЗЧ и РМ	29.05.2016 23:59:59	Розница			1
Дуговая сварка.	30.05.2016 23:59:59	Дилер	59 933,96	66 041,30	1
Дуговая сварка.	30.05.2016 23:59:59	Розница	253 166,01	134 115,74	1
ЗЧ и РМ	30.05.2016 23:59:59	Дилер	109 235,91	112 448,88	6
ЗЧ и РМ	30.05.2016 23:59:59	КПК	122 894,16	65 103,87	1
ЗЧ и РМ	30.05.2016 23:59:59	Розница	294 974,07	238 636,66	15
