
Параметры:	Период:  - 31.07.2017
Отбор:	"Заказ.Дата Больше или равно ""01.04.2016 0:00:00"" И
Заказ.Дата Меньше ""27.08.2017 0:00:00"" И
Направление В списке ""Автосервис; АТП; Дуговая сварка.; ЗЧ и РМ; Комплексные поставки; Компрессорное; Металлообработка; Насосное; НГО; Подготовка поверхности;..."""
	
Направление	Организация	Заказ.Дата.Конец дня	Канал сбыта	Сумма Руб.	Сумма оплаты Руб.	Количество заказов	Количество заказов с оплатой
Компрессорное	PУТЕКТОР	05.05.2017 23:59:59	Дилер	124 502,00	31 595,00	2	1
Насосное	PУТЕКТОР	05.05.2017 23:59:59	Дилер	959 674,78	439 591,04	12	10
Подготовка поверхности	PУТЕКТОР	05.05.2017 23:59:59	Дилер	40 916,50	25 956,50	3	2
Сварочное	PУТЕКТОР	05.05.2017 23:59:59	Дилер	82 940,68	83 015,06	3	3
Дуговая сварка.	PУТЕКТОР	05.05.2017 23:59:59	Розница	29 628,00	29 628,00	1	1
ЗЧ и РМ	PУТЕКТОР	05.05.2017 23:59:59	Розница	400 223,26	303 059,61	21	15
ЗЧ и РМ	Рутектор	05.05.2017 23:59:59	Розница	189 764,96		1	
Компрессорное	PУТЕКТОР	05.05.2017 23:59:59	Розница	153 533,09	45 533,09	3	2
Насосное	PУТЕКТОР	05.05.2017 23:59:59	Розница	392 016,85	351 167,53	4	3
Подготовка поверхности	PУТЕКТОР	05.05.2017 23:59:59	Розница	218 028,44	218 028,43	5	5
Сварочное	PУТЕКТОР	05.05.2017 23:59:59	Розница	172 602,06	172 602,06	4	4
Химическое	PУТЕКТОР	05.05.2017 23:59:59	Розница	90 722,35		1	
ЗЧ и РМ	PУТЕКТОР	08.05.2017 23:59:59	Дилер	14 397,42		2	
ЗЧ и РМ	PУТЕКТОР	08.05.2017 23:59:59	Розница	56 389,72		1	
Дуговая сварка.	PУТЕКТОР	10.05.2017 23:59:59	Дилер	5 250,00	5 250,00	1	1
ЗЧ и РМ	PУТЕКТОР	10.05.2017 23:59:59	Дилер	61 843,76	31 453,64	9	4
Компрессорное	PУТЕКТОР	10.05.2017 23:59:59	Дилер	67 600,00	67 600,00	1	1
Насосное	PУТЕКТОР	10.05.2017 23:59:59	Дилер	548 072,88	461 312,37	17	13
Подготовка поверхности	PУТЕКТОР	10.05.2017 23:59:59	Дилер	120 128,43	122 150,27	1	1
Сварочное	PУТЕКТОР	10.05.2017 23:59:59	Дилер	9 584,58	5 091,50	2	1
Химическое	PУТЕКТОР	10.05.2017 23:59:59	Дилер	7 477,51	7 477,51	1	1
НГО	PУТЕКТОР	10.05.2017 23:59:59	КПК	3 078 560,70		1	
Сварочное	PУТЕКТОР	10.05.2017 23:59:59	КПК	750 000,00		1	
Строительное	PУТЕКТОР	10.05.2017 23:59:59	КПК	58 446,50		1	
Дуговая сварка.	PУТЕКТОР	10.05.2017 23:59:59	Розница	61 659,78	61 659,78	5	5
ЗЧ и РМ	PУТЕКТОР	10.05.2017 23:59:59	Розница	827 223,51	719 866,38	33	27
Компрессорное	PУТЕКТОР	10.05.2017 23:59:59	Розница	218 746,83	218 746,79	4	4
Насосное	PУТЕКТОР	10.05.2017 23:59:59	Розница	840 216,67	231 502,95	6	4
Подготовка поверхности	PУТЕКТОР	10.05.2017 23:59:59	Розница	131 442,02	131 442,02	5	5
Сварочное	PУТЕКТОР	10.05.2017 23:59:59	Розница	255 635,86	240 210,58	5	3
ЗЧ и РМ	PУТЕКТОР	11.05.2017 23:59:59	Дилер	279 974,97	116 147,31	14	7
Компрессорное	PУТЕКТОР	11.05.2017 23:59:59	Дилер	96 350,00	96 350,00	3	3
Насосное	PУТЕКТОР	11.05.2017 23:59:59	Дилер	761 187,15	642 972,56	20	16
Подготовка поверхности	PУТЕКТОР	11.05.2017 23:59:59	Дилер	80 040,00	80 040,00	3	3
Сварочное	PУТЕКТОР	11.05.2017 23:59:59	Дилер	267 452,35	3 328,10	3	1
ЗЧ и РМ	PУТЕКТОР	11.05.2017 23:59:59	КПК	24 347,60	24 346,44	1	1
Комплексные поставки	PУТЕКТОР	11.05.2017 23:59:59	КПК	1 479 912,20	1 479 911,85	1	1
Автосервис	PУТЕКТОР	11.05.2017 23:59:59	Розница	41 500,00	41 500,00	2	2
Дуговая сварка.	PУТЕКТОР	11.05.2017 23:59:59	Розница	84 281,92	84 281,92	2	2
ЗЧ и РМ	PУТЕКТОР	11.05.2017 23:59:59	Розница	468 075,67	368 285,92	34	26
Металлообработка	PУТЕКТОР	11.05.2017 23:59:59	Розница	63 896,03	62 781,60	1	1
Насосное	PУТЕКТОР	11.05.2017 23:59:59	Розница	3 136 166,32	2 897 151,34	8	5
Подготовка поверхности	PУТЕКТОР	11.05.2017 23:59:59	Розница	10 273,13	10 273,13	2	2
Сварочное	PУТЕКТОР	11.05.2017 23:59:59	Розница	1 042 690,84	1 036 807,34	6	6
Химическое	PУТЕКТОР	11.05.2017 23:59:59	Розница	308 576,95	308 388,87	2	2
ЗЧ и РМ	PУТЕКТОР	12.05.2017 23:59:59	Дилер	259 848,34	120 807,51	14	9
Компрессорное	PУТЕКТОР	12.05.2017 23:59:59	Дилер	49 050,00	49 050,00	2	2
Насосное	PУТЕКТОР	12.05.2017 23:59:59	Дилер	1 484 633,55	1 052 257,32	17	14
Сварочное	PУТЕКТОР	12.05.2017 23:59:59	Дилер	146 657,92	21 706,84	3	2
Химическое	PУТЕКТОР	12.05.2017 23:59:59	Дилер	1 482 790,01	825 693,88	2	2
ЗЧ и РМ	PУТЕКТОР	12.05.2017 23:59:59	КПК	197 791,53		1	
Автосервис	PУТЕКТОР	12.05.2017 23:59:59	Розница	12 600,00	12 600,00	1	1
Дуговая сварка.	PУТЕКТОР	12.05.2017 23:59:59	Розница	2 137,08	2 137,08	1	1
ЗЧ и РМ	PУТЕКТОР	12.05.2017 23:59:59	Розница	244 299,22	164 529,08	26	20
Компрессорное	PУТЕКТОР	12.05.2017 23:59:59	Розница	1 464 181,82	1 257 573,20	9	7
Насосное	PУТЕКТОР	12.05.2017 23:59:59	Розница	1 641 472,38	1 181 146,34	9	5
Подготовка поверхности	PУТЕКТОР	12.05.2017 23:59:59	Розница	438 640,00	438 640,00	4	4
Сварочное	PУТЕКТОР	12.05.2017 23:59:59	Розница	2 102 993,09	2 102 993,09	6	6
Химическое	PУТЕКТОР	12.05.2017 23:59:59	Розница	547 398,31	216 863,93	2	1
Автосервис	PУТЕКТОР	15.05.2017 23:59:59	Дилер	13 004,00	13 004,00	1	1
ЗЧ и РМ	PУТЕКТОР	15.05.2017 23:59:59	Дилер	2 198 123,99	260 807,65	19	12
Компрессорное	PУТЕКТОР	15.05.2017 23:59:59	Дилер	170 599,41	170 710,71	5	5
Насосное	PУТЕКТОР	15.05.2017 23:59:59	Дилер	709 116,94	596 710,02	15	12
Подготовка поверхности	PУТЕКТОР	15.05.2017 23:59:59	Дилер	240 894,20	240 696,90	3	3
Сварочное	PУТЕКТОР	15.05.2017 23:59:59	Дилер	163 797,38	166 253,90	7	7
ЗЧ и РМ	PУТЕКТОР	15.05.2017 23:59:59	КПК	3 658 568,76		2	
АТП	PУТЕКТОР	15.05.2017 23:59:59	Розница	6 328,05	6 254,42	1	1
Дуговая сварка.	PУТЕКТОР	15.05.2017 23:59:59	Розница	43 717,75	43 717,75	3	3
ЗЧ и РМ	PУТЕКТОР	15.05.2017 23:59:59	Розница	179 536,15	114 393,67	20	13
ЗЧ и РМ	Рутектор	15.05.2017 23:59:59	Розница	1 771 785,00		1	
Компрессорное	PУТЕКТОР	15.05.2017 23:59:59	Розница	346 250,30	16 250,30	3	2
Насосное	PУТЕКТОР	15.05.2017 23:59:59	Розница	1 364 743,89	349 863,68	11	6
Подготовка поверхности	PУТЕКТОР	15.05.2017 23:59:59	Розница	533 600,00	269 100,00	2	2
Сварочное	PУТЕКТОР	15.05.2017 23:59:59	Розница	434 599,58	122 384,38	6	5
Химическое	PУТЕКТОР	15.05.2017 23:59:59	Розница	552 847,62	138 399,21	5	3
ЗЧ и РМ	PУТЕКТОР	16.05.2017 23:59:59	Дилер	215 417,11	107 848,28	16	8
Компрессорное	PУТЕКТОР	16.05.2017 23:59:59	Дилер	97 110,00	68 400,00	3	2
Насосное	PУТЕКТОР	16.05.2017 23:59:59	Дилер	830 242,62	802 716,43	9	7
Подготовка поверхности	PУТЕКТОР	16.05.2017 23:59:59	Дилер	38 758,28	38 844,82	2	2
Сварочное	PУТЕКТОР	16.05.2017 23:59:59	Дилер	386 945,59	401 232,17	2	1
Химическое	PУТЕКТОР	16.05.2017 23:59:59	Дилер	65 778,24	66 923,06	2	2
Насосное	PУТЕКТОР	16.05.2017 23:59:59	КПК	21 369,00		1	
НГО	PУТЕКТОР	16.05.2017 23:59:59	КПК	3 515 720,00	3 515 720,00	2	2
АТП	PУТЕКТОР	16.05.2017 23:59:59	Розница	35 000,00	35 000,00	1	1
Дуговая сварка.	PУТЕКТОР	16.05.2017 23:59:59	Розница	1 352 676,27	1 350 577,54	3	3
ЗЧ и РМ	PУТЕКТОР	16.05.2017 23:59:59	Розница	508 415,59	478 761,12	22	19
ЗЧ и РМ	Рутектор	16.05.2017 23:59:59	Розница	223 008,00		1	
Компрессорное	PУТЕКТОР	16.05.2017 23:59:59	Розница	659 687,80	4 187,80	3	1
Насосное	PУТЕКТОР	16.05.2017 23:59:59	Розница	2 492 552,39	1 336 611,89	12	6
Подготовка поверхности	PУТЕКТОР	16.05.2017 23:59:59	Розница	123 757,27	123 757,27	1	1
Сварочное	PУТЕКТОР	16.05.2017 23:59:59	Розница	665 935,45	210 193,16	9	3
Химическое	PУТЕКТОР	16.05.2017 23:59:59	Розница	306 802,56	249 468,01	2	1
Дуговая сварка.	PУТЕКТОР	17.05.2017 23:59:59	Дилер	620,38	629,57	1	1
ЗЧ и РМ	PУТЕКТОР	17.05.2017 23:59:59	Дилер	517 688,32	294 951,85	18	12
Компрессорное	PУТЕКТОР	17.05.2017 23:59:59	Дилер	518 630,00	518 630,00	4	4
Насосное	PУТЕКТОР	17.05.2017 23:59:59	Дилер	1 491 097,20	1 502 955,18	14	14
Подготовка поверхности	PУТЕКТОР	17.05.2017 23:59:59	Дилер	3 068 294,21	73 670,50	5	4
Сварочное	PУТЕКТОР	17.05.2017 23:59:59	Дилер	358 356,88	241 358,29	7	6
ЗЧ и РМ	PУТЕКТОР	17.05.2017 23:59:59	КПК	80 316,58	8 700,00	2	1
Сварочное	PУТЕКТОР	17.05.2017 23:59:59	КПК	204 002,40	64 002,40	2	1
Дуговая сварка.	PУТЕКТОР	17.05.2017 23:59:59	Розница	14 984,00	14 984,00	2	2
ЗЧ и РМ	PУТЕКТОР	17.05.2017 23:59:59	Розница	1 784 334,99	301 215,33	26	18
ЗЧ и РМ	Рутектор	17.05.2017 23:59:59	Розница	181 505,76		1	
Компрессорное	PУТЕКТОР	17.05.2017 23:59:59	Розница	520 709,65	509 218,93	5	4
Насосное	PУТЕКТОР	17.05.2017 23:59:59	Розница	1 198 892,87	278 058,92	15	7
Подготовка поверхности	PУТЕКТОР	17.05.2017 23:59:59	Розница	223 300,00	223 300,00	2	2
Сварочное	PУТЕКТОР	17.05.2017 23:59:59	Розница	943 496,06	719 073,32	7	4
Химическое	PУТЕКТОР	17.05.2017 23:59:59	Розница	142 966,41		1	
Дуговая сварка.	PУТЕКТОР	18.05.2017 23:59:59	Дилер	32 233,88	32 748,19	1	1
ЗЧ и РМ	PУТЕКТОР	18.05.2017 23:59:59	Дилер	347 225,26	179 914,66	16	10
Компрессорное	PУТЕКТОР	18.05.2017 23:59:59	Дилер	15 147,41	15 212,72	2	2
Насосное	PУТЕКТОР	18.05.2017 23:59:59	Дилер	1 501 478,96	1 501 400,71	15	14
Подготовка поверхности	PУТЕКТОР	18.05.2017 23:59:59	Дилер	2 380,00	2 380,00	1	1
Сварочное	PУТЕКТОР	18.05.2017 23:59:59	Дилер	134 702,37	33 467,83	2	1
Химическое	PУТЕКТОР	18.05.2017 23:59:59	Дилер	138 567,92	141 308,52	2	2
ЗЧ и РМ	PУТЕКТОР	18.05.2017 23:59:59	КПК	584 260,88	368 440,88	7	3
Сварочное	PУТЕКТОР	18.05.2017 23:59:59	КПК	203 000,00		1	
Дуговая сварка.	PУТЕКТОР	18.05.2017 23:59:59	Розница	12 859,80	12 859,80	2	2
ЗЧ и РМ	PУТЕКТОР	18.05.2017 23:59:59	Розница	898 274,05	665 148,95	28	21
Компрессорное	PУТЕКТОР	18.05.2017 23:59:59	Розница	589 049,39	343 461,37	6	4
Насосное	PУТЕКТОР	18.05.2017 23:59:59	Розница	1 238 311,04	574 273,45	15	8
Подготовка поверхности	PУТЕКТОР	18.05.2017 23:59:59	Розница	193 470,97	150 417,07	4	4
Сварочное	PУТЕКТОР	18.05.2017 23:59:59	Розница	951 763,16	76 960,17	7	4
Химическое	PУТЕКТОР	18.05.2017 23:59:59	Розница	65 239,79	65 406,24	2	2
ЗЧ и РМ	PУТЕКТОР	19.05.2017 23:59:59	Дилер	80 537,91	62 044,27	7	5
Компрессорное	PУТЕКТОР	19.05.2017 23:59:59	Дилер	303 255,50	102 294,90	2	1
Насосное	PУТЕКТОР	19.05.2017 23:59:59	Дилер	317 244,44	317 054,78	8	8
Подготовка поверхности	PУТЕКТОР	19.05.2017 23:59:59	Дилер	7 200,00		1	
Сварочное	PУТЕКТОР	19.05.2017 23:59:59	Дилер	1 023,95	1 010,74	1	1
ЗЧ и РМ	PУТЕКТОР	19.05.2017 23:59:59	КПК	327 847,15		4	
Насосное	PУТЕКТОР	19.05.2017 23:59:59	КПК	73 767,80	73 767,80	1	1
Дуговая сварка.	PУТЕКТОР	19.05.2017 23:59:59	Розница	195 247,91	195 247,88	2	2
ЗЧ и РМ	PУТЕКТОР	19.05.2017 23:59:59	Розница	432 824,38	255 929,10	23	18
Компрессорное	PУТЕКТОР	19.05.2017 23:59:59	Розница	842 370,59	26 271,24	6	2
Металлообработка	PУТЕКТОР	19.05.2017 23:59:59	Розница	38 909,99	41 153,57	1	1
Насосное	PУТЕКТОР	19.05.2017 23:59:59	Розница	2 655 969,62	791 833,58	8	4
Подготовка поверхности	PУТЕКТОР	19.05.2017 23:59:59	Розница	2 554 870,00	2 554 870,00	4	4
Сварочное	PУТЕКТОР	19.05.2017 23:59:59	Розница	3 995 716,38	1 609 830,75	6	5
Химическое	PУТЕКТОР	19.05.2017 23:59:59	Розница	734 994,54	82 189,54	4	2
Автосервис	PУТЕКТОР	22.05.2017 23:59:59	Дилер	52 587,38	51 978,90	1	1
Дуговая сварка.	PУТЕКТОР	22.05.2017 23:59:59	Дилер	5 480,00	5 480,00	1	1
ЗЧ и РМ	PУТЕКТОР	22.05.2017 23:59:59	Дилер	136 970,93	31 659,50	11	4
Компрессорное	PУТЕКТОР	22.05.2017 23:59:59	Дилер	20 700,00	20 700,00	1	1
Насосное	PУТЕКТОР	22.05.2017 23:59:59	Дилер	942 289,32	229 117,90	10	8
Подготовка поверхности	PУТЕКТОР	22.05.2017 23:59:59	Дилер	43 217,84	43 217,84	2	2
Сварочное	PУТЕКТОР	22.05.2017 23:59:59	Дилер	3 670 628,98	382 321,56	5	3
Химическое	PУТЕКТОР	22.05.2017 23:59:59	Дилер	177 571,28	176 668,11	2	2
Дуговая сварка.	PУТЕКТОР	22.05.2017 23:59:59	КПК	250 328,62		1	
ЗЧ и РМ	PУТЕКТОР	22.05.2017 23:59:59	КПК	16 900,00	16 900,00	1	1
Комплексные поставки	PУТЕКТОР	22.05.2017 23:59:59	КПК	3 900,00		1	
Насосное	PУТЕКТОР	22.05.2017 23:59:59	КПК	61 536,11	61 536,11	1	1
НГО	PУТЕКТОР	22.05.2017 23:59:59	КПК	2 705 664,35		1	
Сварочное	PУТЕКТОР	22.05.2017 23:59:59	КПК	4 461 800,00		2	
Автосервис	PУТЕКТОР	22.05.2017 23:59:59	Розница	6 607,00	6 607,00	1	1
Дуговая сварка.	PУТЕКТОР	22.05.2017 23:59:59	Розница	16 434,16	16 434,16	3	3
ЗЧ и РМ	PУТЕКТОР	22.05.2017 23:59:59	Розница	482 517,78	180 854,15	24	16
Компрессорное	PУТЕКТОР	22.05.2017 23:59:59	Розница	1 260 124,27	1 052 891,87	9	9
Насосное	PУТЕКТОР	22.05.2017 23:59:59	Розница	1 259 724,28	978 458,06	18	12
Сварочное	PУТЕКТОР	22.05.2017 23:59:59	Розница	1 354 812,97	630 713,84	9	5
Химическое	PУТЕКТОР	22.05.2017 23:59:59	Розница	9 315 938,81	6 700 194,84	3	1
Дуговая сварка.	PУТЕКТОР	23.05.2017 23:59:59	Дилер	97 140,00	97 140,00	2	2
ЗЧ и РМ	PУТЕКТОР	23.05.2017 23:59:59	Дилер	316 226,14	168 679,87	11	6
ЗЧ и РМ	Рутектор	23.05.2017 23:59:59	Дилер	1 673 350,88	843 914,91	1	1
Компрессорное	PУТЕКТОР	23.05.2017 23:59:59	Дилер	323 279,51	328 779,26	3	3
Насосное	PУТЕКТОР	23.05.2017 23:59:59	Дилер	711 632,15	456 976,98	17	13
НГО	PУТЕКТОР	23.05.2017 23:59:59	Дилер	250 000,00	250 000,00	1	1
Сварочное	PУТЕКТОР	23.05.2017 23:59:59	Дилер	347 206,52	372 116,82	3	3
ЗЧ и РМ	PУТЕКТОР	23.05.2017 23:59:59	КПК	150 471,53	36 750,00	3	1
НГО	PУТЕКТОР	23.05.2017 23:59:59	КПК	40 035,05		1	
Сварочное	PУТЕКТОР	23.05.2017 23:59:59	КПК	3 440 000,00		1	
Химическое	PУТЕКТОР	23.05.2017 23:59:59	КПК	123 558,64	125 078,01	1	1
ЗЧ и РМ	PУТЕКТОР	23.05.2017 23:59:59	Розница	341 597,63	204 385,79	20	13
Компрессорное	PУТЕКТОР	23.05.2017 23:59:59	Розница	219 425,00	126 925,00	5	3
Насосное	PУТЕКТОР	23.05.2017 23:59:59	Розница	3 512 096,44	1 310 150,64	16	9
Подготовка поверхности	PУТЕКТОР	23.05.2017 23:59:59	Розница	398 591,12	398 591,13	6	6
Сварочное	PУТЕКТОР	23.05.2017 23:59:59	Розница	1 565 088,31	1 089 431,59	9	6
Химическое	PУТЕКТОР	23.05.2017 23:59:59	Розница	7 578,98	7 578,98	1	1
Дуговая сварка.	PУТЕКТОР	24.05.2017 23:59:59	Дилер	125 262,98	125 262,98	1	1
ЗЧ и РМ	PУТЕКТОР	24.05.2017 23:59:59	Дилер	188 436,53	93 322,77	11	7
Компрессорное	PУТЕКТОР	24.05.2017 23:59:59	Дилер	182 382,17	164 036,02	3	2
Насосное	PУТЕКТОР	24.05.2017 23:59:59	Дилер	607 321,42	607 545,07	9	9
Подготовка поверхности	PУТЕКТОР	24.05.2017 23:59:59	Дилер	78 429,80	64 440,00	3	2
Сварочное	PУТЕКТОР	24.05.2017 23:59:59	Дилер	1 327 917,30	29 804,49	2	1
